DayOfYear;flux_m3/s;c_mg/m3;dis_mg/s
272;-10.386501;0.785164118;-8.155108141943215
273;-7.4923887;0.785164118;-5.882754785198213
274;-6.477403;0.785164118;-5.085824542121736
275;-5.7557163;0.785164118;-4.519181930875881
276;-5.07613;0.785164118;-3.985595066253227
277;-4.4919195;0.785164118;-3.526894026098291
278;-5.4840803;0.785164118;-4.3059030832825185
279;-33.975533;0.785164118;-26.676369033862592
280;-26.2036;0.785164118;-20.574126427313793
281;-31.851788;0.785164118;-25.0088806918758
282;-20.539448;0.785164118;-16.12683740386419
283;-19.567549;0.785164118;-15.36373715715343
284;-39.82411;0.785164118;-31.268460730143804
285;-62.97411;0.785164118;-49.44501125990917
286;-24.017765;0.785164118;-18.857887308019006
287;-13.693441;0.785164118;-10.751598832142307
288;-9.603616;0.785164118;-7.540414498441961
289;-7.5640593;0.785164118;-5.939027915420473
290;-6.094958;0.785164118;-4.785542187678458
291;-5.257173;0.785164118;-4.127743649904603
292;-4.776916;0.785164118;-3.7506630591537675
293;-4.164297;0.785164118;-3.2696566626593357
294;-7.5665116;0.785164118;-5.940953431100249
295;-27.961327;0.785164118;-21.954230337308854
296;-43.50972;0.785164118;-34.162270809378875
297;-36.612766;0.785164118;-28.747030332681295
298;-19.748455;0.785164118;-15.505778289317329
299;-54.44968;0.785164118;-42.751935230405905
300;-36.58192;0.785164118;-28.72281144131568
301;-46.403328;0.785164118;-36.434228055762375
302;-54.495277;0.785164118;-42.78773641869346
303;-28.293653;0.785164118;-22.215161486028126
304;-16.713667;0.785164118;-13.122971542563343
305;-19.871023;0.785164118;-15.602014387390902
306;-45.05669;0.785164118;-35.376896433495475
307;-78.47752;0.785164118;-61.6177357601647
308;-32.01033;0.785164118;-25.133362678525113
309;-17.389275;0.785164118;-13.653434451745193
310;-11.947495;0.785164118;-9.380744735560537
311;-9.283721;0.785164118;-7.289244587288919
312;-7.5707994;0.785164118;-5.944319994777587
313;-6.5491247;0.785164118;-5.142137732654657
314;-5.80916;0.785164118;-4.561144170306042
315;-5.1911116;0.785164118;-4.075874533087206
316;-5.4892673;0.785164118;-4.309975756734707
317;-6.550734;0.785164118;-5.143401317219939
318;-9.369735;0.785164118;-7.356779531947824
319;-26.531288;0.785164118;-20.83141545732164
320;-43.914486;0.785164118;-34.480078613748326
321;-113.26047;0.785164118;-88.92805509190802
322;-44.54411;0.785164118;-34.9744363255561
323;-22.707087;0.785164118;-17.82878959367419
324;-15.280679;0.785164118;-11.997840652466254
325;-11.109238;0.785164118;-8.722574797523345
326;-9.489796;0.785164118;-7.4510470588675455
327;-8.46876;0.785164118;-6.649366112221035
328;-7.2759695;0.785164118;-5.712830179231668
329;-6.361766;0.785164118;-4.995030281575975
330;-5.656736;0.785164118;-4.4414660513773585
331;-5.7509937;0.785164118;-4.515473918569347
332;-5.111199;0.785164118;-4.013129977913569
333;-4.3957844;0.785164118;-3.451412164111187
334;-4.0678954;0.785164118;-3.193965513628678
335;-3.9538038;0.785164118;-3.104384855858729
336;-5.2179956;0.785164118;-4.096982947247381
337;-4.544205;0.785164118;-3.5679468590368755
338;-5.6860995;0.785164118;-4.464521321756634
339;-5.8264246;0.785164118;-4.574699531126958
340;-5.187433;0.785164118;-4.072986072369828
341;-5.7334046;0.785164118;-4.501663594462813
342;-13.022955;0.785164118;-10.225156929843754
343;-28.823925;0.785164118;-22.631511664299932
344;-25.758692;0.785164118;-20.224800518338803
345;-20.502821;0.785164118;-16.098079342344654
346;-16.651455;0.785164118;-13.0741249200261
347;-12.050101;0.785164118;-9.461307143488641
348;-9.904229;0.785164118;-7.776445356118932
349;-19.60983;0.785164118;-15.396935548434222
350;-30.976213;0.785164118;-24.321411316531993
351;-28.059736;0.785164118;-22.031498065481554
352;-24.796978;0.785164118;-19.469697357943428
353;-36.803856;0.785164118;-28.897067053578873
354;-31.369707;0.785164118;-24.630368413013073
355;-53.183586;0.785164118;-41.757843488462235
356;-38.84063;0.785164118;-30.496268664889847
357;-40.22543;0.785164118;-31.583563901950416
358;-30.41952;0.785164118;-23.884315138873102
359;-17.30104;0.785164118;-13.58415632197934
360;-11.274854;0.785164118;-8.852610565933073
361;-9.157851;0.785164118;-7.190416175280527
362;-57.34934;0.785164118;-45.02864280596401
363;-44.236267;0.785164118;-34.732729633209594
364;-28.834835;0.785164118;-22.640077831663977
365;-36.799416;0.785164118;-28.893580683364974
366;-22.393263;0.785164118;-17.58238648509453
